Length,Height
1.612,0.897
1.935,1.088
1.934,1.052
1.582,0.884
1.567,0.891
1.631,0.861
1.645,0.927
1.323,0.756
1.661,0.919
2.044,1.176
1.564,0.912
1.613,0.904
1.512,0.916
1.589,0.905
1.543,0.884
1.564,0.867
1.939,1.103
1.919,1.115
1.948,1.149
1.536,0.918
1.58,0.942
1.549,0.891
1.581,0.93
1.539,0.924
1.532,0.915
1.621,0.916
1.556,0.894
1.596,0.922
1.917,1.099
1.699,0.887
1.531,0.886
1.523,0.885
1.007,0.584
1.091,0.611
1.594,0.901
1.973,1.094
1.977,1.161
1.566,0.896
1.99,1.14
1.503,0.857
1.415,0.808
1.885,1.073
1.644,0.995
1.262,0.743
1.509,0.87
1.595,0.943
1.583,0.884
1.721,0.87
1.038,0.667
1.039,0.614
1.522,0.901
1.242,0.725
1.237,0.7375
1.537,0.912
1.63,0.939
1.258,0.746
1.438,0.829
1.588,0.896
1.188,0.697
1.291,0.761
1.235,0.71
1.046,0.632
1.013,0.607
1.243,0.754
1.033,0.606
1.089,0.658
1.607,0.945
1.668,0.962
1.581,0.898
1.929,1.25
1.958,1.2
1.681,0.948
1.618,0.91
2.004,1.198
1.752,1.005
1.635,0.945
1.617,0.976
1.716,0.998
1.661,0.951
0.627,0.364
0.605,0.34
1.862,1.066
1.909,1.097
1.52,0.855
1.631,0.922
1.979,1.12
1.94,1.248
1.949,1.165
1.853,1.085
1.585,0.968
1.929,1.114
1.595,0.9
1.837,1.083
1.607,0.945
1.668,0.962
1.581,0.898
1.681,0.948
1.618,0.91
1.582,0.946
1.579,0.908
1.601,0.92
